epoch (ms),time (10:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1592533081937,2020-06-19T12.18.01.937,2.379,-0.000132875,-0.000179500,-0.000282188
1592533081977,2020-06-19T12.18.01.977,2.419,-0.000134313,-0.000179500,-0.000282563
1592533082018,2020-06-19T12.18.02.018,2.460,-0.000135000,-0.000179813,-0.000282563
1592533082057,2020-06-19T12.18.02.057,2.499,-0.000133938,-0.000180188,-0.000283688
1592533082098,2020-06-19T12.18.02.098,2.540,-0.000135375,-0.000182000,-0.000284125
1592533082138,2020-06-19T12.18.02.138,2.580,-0.000134688,-0.000180938,-0.000282563
1592533082179,2020-06-19T12.18.02.179,2.621,-0.000133938,-0.000183125,-0.000282563
1592533082218,2020-06-19T12.18.02.218,2.660,-0.000135000,-0.000179500,-0.000283313
1592533082259,2020-06-19T12.18.02.259,2.701,-0.000134688,-0.000177313,-0.000282938
1592533082299,2020-06-19T12.18.02.299,2.741,-0.000136813,-0.000178375,-0.000281813
1592533082340,2020-06-19T12.18.02.340,2.782,-0.000134688,-0.000179500,-0.000282938
1592533082380,2020-06-19T12.18.02.380,2.822,-0.000137188,-0.000178750,-0.000283000
1592533082421,2020-06-19T12.18.02.421,2.863,-0.000134313,-0.000177688,-0.000282625
1592533082460,2020-06-19T12.18.02.460,2.902,-0.000135750,-0.000179500,-0.000283313
1592533082501,2020-06-19T12.18.02.501,2.943,-0.000134688,-0.000178375,-0.000281500
1592533082541,2020-06-19T12.18.02.541,2.983,-0.000134313,-0.000179875,-0.000283063
1592533082582,2020-06-19T12.18.02.582,3.024,-0.000135000,-0.000178375,-0.000282563
1592533082623,2020-06-19T12.18.02.623,3.065,-0.000134313,-0.000178750,-0.000281813
1592533082662,2020-06-19T12.18.02.662,3.104,-0.000134313,-0.000180938,-0.000282563
1592533082703,2020-06-19T12.18.02.703,3.145,-0.000135750,-0.000179500,-0.000282625
1592533082743,2020-06-19T12.18.02.743,3.185,-0.000135000,-0.000179813,-0.000282313
1592533082784,2020-06-19T12.18.02.784,3.226,-0.000133938,-0.000179125,-0.000283688
1592533082823,2020-06-19T12.18.02.823,3.265,-0.000136125,-0.000179125,-0.000282938
1592533082864,2020-06-19T12.18.02.864,3.306,-0.000136125,-0.000180938,-0.000282563
1592533082904,2020-06-19T12.18.02.904,3.346,-0.000135375,-0.000178750,-0.000282188
1592533082945,2020-06-19T12.18.02.945,3.387,-0.000136125,-0.000180188,-0.000284125
1592533082985,2020-06-19T12.18.02.985,3.427,-0.000134688,-0.000179813,-0.000283313
1592533083026,2020-06-19T12.18.03.026,3.468,-0.000135750,-0.000180188,-0.000283000
1592533083065,2020-06-19T12.18.03.065,3.507,-0.000134688,-0.000180938,-0.000282938
1592533083106,2020-06-19T12.18.03.106,3.548,-0.000135000,-0.000178000,-0.000282188
1592533083146,2020-06-19T12.18.03.146,3.588,-0.000136125,-0.000179125,-0.000283063
1592533083187,2020-06-19T12.18.03.187,3.629,-0.000135000,-0.000179813,-0.000282250
1592533083226,2020-06-19T12.18.03.226,3.668,-0.000135750,-0.000178750,-0.000282625
1592533083267,2020-06-19T12.18.03.267,3.709,-0.000134688,-0.000178375,-0.000282688
1592533083308,2020-06-19T12.18.03.308,3.750,-0.000136500,-0.000178750,-0.000283000
1592533083348,2020-06-19T12.18.03.348,3.790,-0.000134688,-0.000179813,-0.000281125
1592533083389,2020-06-19T12.18.03.389,3.831,-0.000135375,-0.000179500,-0.000281500
1592533083428,2020-06-19T12.18.03.428,3.870,-0.000133938,-0.000180563,-0.000283313
1592533083469,2020-06-19T12.18.03.469,3.911,-0.000134688,-0.000179125,-0.000282313
1592533083509,2020-06-19T12.18.03.509,3.951,-0.000135000,-0.000179125,-0.000282625
1592533083550,2020-06-19T12.18.03.550,3.992,-0.000133938,-0.000178750,-0.000282188
1592533083590,2020-06-19T12.18.03.590,4.032,-0.000134688,-0.000178375,-0.000281813
1592533083631,2020-06-19T12.18.03.631,4.073,-0.000133938,-0.000183125,-0.000281500
1592533083670,2020-06-19T12.18.03.670,4.112,-0.000135375,-0.000179125,-0.000281875
1592533083711,2020-06-19T12.18.03.711,4.153,-0.000136125,-0.000184188,-0.000282625
1592533083751,2020-06-19T12.18.03.751,4.193,-0.000136813,-0.000180938,-0.000281938
1592533083792,2020-06-19T12.18.03.792,4.234,-0.000134313,-0.000186000,-0.000283750
1592533083831,2020-06-19T12.18.03.831,4.273,-0.000134688,-0.000177688,-0.000282250
1592533083872,2020-06-19T12.18.03.872,4.314,-0.000133938,-0.000181625,-0.000282625
1592533083912,2020-06-19T12.18.03.912,4.354,-0.000136500,-0.000179125,-0.000282250
1592533083953,2020-06-19T12.18.03.953,4.395,-0.000135375,-0.000178375,-0.000281875
1592533083992,2020-06-19T12.18.03.992,4.434,-0.000135000,-0.000179500,-0.000283000
1592533084033,2020-06-19T12.18.04.033,4.475,-0.000134688,-0.000178750,-0.000281438
1592533084073,2020-06-19T12.18.04.073,4.515,-0.000132875,-0.000178750,-0.000282250
1592533084114,2020-06-19T12.18.04.114,4.556,-0.000135375,-0.000179813,-0.000281500
1592533084154,2020-06-19T12.18.04.154,4.596,-0.000134313,-0.000181625,-0.000278375
1592533084195,2020-06-19T12.18.04.195,4.637,-0.000134688,-0.000185250,-0.000271500
1592533084236,2020-06-19T12.18.04.236,4.678,-0.000135375,-0.000192500,-0.000257063
1592533084275,2020-06-19T12.18.04.275,4.717,-0.000136813,-0.000201938,-0.000235313
1592533084316,2020-06-19T12.18.04.316,4.758,-0.000141563,-0.000206250,-0.000216688
1592533084356,2020-06-19T12.18.04.356,4.798,-0.000146250,-0.000208063,-0.000205188
1592533084397,2020-06-19T12.18.04.397,4.839,-0.000148438,-0.000207688,-0.000199188
1592533084436,2020-06-19T12.18.04.436,4.878,-0.000149500,-0.000206625,-0.000193063
1592533084477,2020-06-19T12.18.04.477,4.919,-0.000148438,-0.000207000,-0.000189188
1592533084517,2020-06-19T12.18.04.517,4.959,-0.000144813,-0.000209500,-0.000184563
1592533084558,2020-06-19T12.18.04.558,5.000,-0.000138625,-0.000209125,-0.000182313
1592533084597,2020-06-19T12.18.04.597,5.039,-0.000140813,-0.000205875,-0.000175063
1592533084638,2020-06-19T12.18.04.638,5.080,-0.000144438,-0.000206625,-0.000181625
1592533084678,2020-06-19T12.18.04.678,5.120,-0.000141875,-0.000206250,-0.000181938
1592533084719,2020-06-19T12.18.04.719,5.161,-0.000142250,-0.000207375,-0.000178500
1592533084758,2020-06-19T12.18.04.758,5.200,-0.000141875,-0.000206250,-0.000180063
1592533084800,2020-06-19T12.18.04.800,5.242,-0.000145188,-0.000208063,-0.000184250
1592533084839,2020-06-19T12.18.04.839,5.281,-0.000146250,-0.000207000,-0.000192250
1592533084880,2020-06-19T12.18.04.880,5.322,-0.000149500,-0.000205875,-0.000193750
1592533084920,2020-06-19T12.18.04.920,5.362,-0.000152063,-0.000205875,-0.000194563
1592533084961,2020-06-19T12.18.04.961,5.403,-0.000152063,-0.000205563,-0.000194938
1592533085000,2020-06-19T12.18.05.000,5.442,-0.000152063,-0.000205188,-0.000194563
1592533085041,2020-06-19T12.18.05.041,5.483,-0.000149875,-0.000208438,-0.000194563
1592533085081,2020-06-19T12.18.05.081,5.523,-0.000147313,-0.000205938,-0.000193438
1592533085122,2020-06-19T12.18.05.122,5.564,-0.000143688,-0.000207375,-0.000185750
1592533085161,2020-06-19T12.18.05.161,5.603,-0.000143375,-0.000209875,-0.000178875
1592533085202,2020-06-19T12.18.05.202,5.644,-0.000144813,-0.000211313,-0.000181250
1592533085243,2020-06-19T12.18.05.243,5.685,-0.000145188,-0.000208438,-0.000181188
1592533085283,2020-06-19T12.18.05.283,5.725,-0.000143000,-0.000206250,-0.000175875
1592533085324,2020-06-19T12.18.05.324,5.766,-0.000141563,-0.000207000,-0.000177000
1592533085363,2020-06-19T12.18.05.363,5.805,-0.000140438,-0.000206625,-0.000177750
1592533085404,2020-06-19T12.18.05.404,5.846,-0.000140063,-0.000205875,-0.000177313
1592533085444,2020-06-19T12.18.05.444,5.886,-0.000140063,-0.000207000,-0.000175875
1592533085485,2020-06-19T12.18.05.485,5.927,-0.000141875,-0.000207688,-0.000175813
1592533085525,2020-06-19T12.18.05.525,5.967,-0.000138625,-0.000207375,-0.000178125
1592533085566,2020-06-19T12.18.05.566,6.008,-0.000140813,-0.000208813,-0.000177000
1592533085605,2020-06-19T12.18.05.605,6.047,-0.000142250,-0.000207688,-0.000178563
1592533085646,2020-06-19T12.18.05.646,6.088,-0.000140438,-0.000208813,-0.000178938
1592533085686,2020-06-19T12.18.05.686,6.128,-0.000139750,-0.000207688,-0.000177750
1592533085727,2020-06-19T12.18.05.727,6.169,-0.000141875,-0.000208063,-0.000177750
1592533085766,2020-06-19T12.18.05.766,6.208,-0.000141563,-0.000208438,-0.000178500
1592533085807,2020-06-19T12.18.05.807,6.249,-0.000139375,-0.000208438,-0.000178125
1592533085847,2020-06-19T12.18.05.847,6.289,-0.000140438,-0.000207688,-0.000179313
1592533085888,2020-06-19T12.18.05.888,6.330,-0.000141875,-0.000208438,-0.000178875
1592533085927,2020-06-19T12.18.05.927,6.369,-0.000140125,-0.000208813,-0.000177750
1592533085968,2020-06-19T12.18.05.968,6.410,-0.000139375,-0.000206625,-0.000178125
1592533086008,2020-06-19T12.18.06.008,6.450,-0.000140125,-0.000208813,-0.000178125
